Price,Year,Postcode,Town/City,County
86828,2020,TR27 5HL,HAYLE,CORNWALL
205000,2020,TR27 4AD,HAYLE,CORNWALL
183000,2020,TR27 6JQ,HAYLE,CORNWALL
111500,2020,PL14 4HU,LISKEARD,CORNWALL
235000,2020,PL30 3LF,BODMIN,CORNWALL
270000,2020,TR11 4AF,FALMOUTH,CORNWALL
290000,2020,TR11 4SG,FALMOUTH,CORNWALL
315000,2020,PL30 5JZ,BODMIN,CORNWALL
480000,2020,TR10 9HH,PENRYN,CORNWALL
150015,2020,TR15 2NH,REDRUTH,CORNWALL
250000,2020,TR15 2HT,REDRUTH,CORNWALL
200000,2020,TR11 2NU,FALMOUTH,CORNWALL
197000,2020,TR14 8TA,CAMBORNE,CORNWALL
270000,2020,PL22 0HS,LOSTWITHIEL,CORNWALL
285000,2020,TR16 4DF,REDRUTH,CORNWALL
230000,2020,TR14 0LJ,CAMBORNE,CORNWALL
240000,2020,TR7 2SW,NEWQUAY,CORNWALL
180000,2020,TR26 3EB,ST IVES,CORNWALL
138000,2020,TR14 8RF,CAMBORNE,CORNWALL
353000,2020,PL13 2QW,LOOE,CORNWALL
84000,2020,PL11 2BZ,TORPOINT,CORNWALL
175000,2020,TR18 2RX,PENZANCE,CORNWALL
140000,2020,PL18 9RR,CALSTOCK,CORNWALL
225000,2020,PL13 2PH,LOOE,CORNWALL
280000,2020,TR10 9AN,PENRYN,CORNWALL
327000,2020,TR7 3AN,NEWQUAY,CORNWALL
650000,2020,TR11 3YE,FALMOUTH,CORNWALL
325500,2020,TR13 8QG,HELSTON,CORNWALL
420000,2020,TR26 2NQ,ST IVES,CORNWALL
695000,2020,TR7 3AE,NEWQUAY,CORNWALL
150000,2020,TR19 7SU,PENZANCE,CORNWALL
170250,2020,TR19 7LT,PENZANCE,CORNWALL
170000,2020,TR11 3RS,FALMOUTH,CORNWALL
220000,2020,PL25 3HD,ST AUSTELL,CORNWALL
148000,2020,TR14 7HH,CAMBORNE,CORNWALL
270500,2020,PL18 9DF,GUNNISLAKE,CORNWALL
154000,2020,TR27 4LP,HAYLE,CORNWALL
293000,2020,PL27 6BD,WADEBRIDGE,CORNWALL
165000,2020,PL24 2RD,PAR,CORNWALL
380000,2020,PL24 2PP,PAR,CORNWALL
365000,2020,TR14 7DZ,CAMBORNE,CORNWALL
230000,2020,TR3 6QY,TRURO,CORNWALL
330000,2020,PL22 0AJ,LOSTWITHIEL,CORNWALL
515000,2020,TR1 1JU,TRURO,CORNWALL
280000,2020,TR13 9LY,HELSTON,CORNWALL
175000,2020,TR13 8LU,HELSTON,CORNWALL
370000,2020,TR14 0NA,CAMBORNE,CORNWALL
170000,2020,TR15 2AG,REDRUTH,CORNWALL
237500,2020,PL11 2HH,TORPOINT,CORNWALL
242500,2020,TR18 2AQ,PENZANCE,CORNWALL
450000,2020,TR1 3PX,TRURO,CORNWALL
205000,2020,TR1 3LE,TRURO,CORNWALL
235000,2020,TR3 7RE,TRURO,CORNWALL
192000,2020,TR16 6DB,REDRUTH,CORNWALL
265000,2020,EX23 9LW,BUDE,CORNWALL
249000,2020,TR7 1NS,NEWQUAY,CORNWALL
330000,2020,TR14 7DZ,CAMBORNE,CORNWALL
180000,2020,TR13 0DH,HELSTON,CORNWALL
157500,2020,TR4 9AA,TRURO,CORNWALL
203000,2020,PL25 4HT,ST AUSTELL,CORNWALL
223000,2020,TR11 2ER,FALMOUTH,CORNWALL
380000,2020,TR11 5AP,FALMOUTH,CORNWALL
195000,2020,PL11 2EB,TORPOINT,CORNWALL
295000,2020,TR11 5UU,FALMOUTH,CORNWALL
200000,2020,TR1 3QE,TRURO,CORNWALL
410000,2020,TR18 2DT,PENZANCE,CORNWALL
400000,2020,TR26 2RB,ST IVES,CORNWALL
230000,2020,PL22 0BG,LOSTWITHIEL,CORNWALL
185000,2020,TR26 1EY,ST IVES,CORNWALL
485000,2020,EX23 9NE,BUDE,CORNWALL
225000,2020,TR13 9QL,HELSTON,CORNWALL
315000,2020,TR1 3ES,TRURO,CORNWALL
325000,2020,TR7 1RY,NEWQUAY,CORNWALL
110000,2020,PL10 1ET,TORPOINT,CORNWALL
135000,2020,TR11 2BW,FALMOUTH,CORNWALL
111000,2020,PL15 7JZ,LAUNCESTON,CORNWALL
146000,2020,TR14 0HF,CAMBORNE,CORNWALL
525000,2020,PL32 9RF,CAMELFORD,CORNWALL
172000,2020,PL31 2QZ,BODMIN,CORNWALL
370000,2020,TR14 7LR,CAMBORNE,CORNWALL
180000,2020,TR11 2AP,FALMOUTH,CORNWALL
115000,2020,PL14 3BJ,LISKEARD,CORNWALL
360000,2020,TR1 3RX,TRURO,CORNWALL
318000,2020,PL30 5EP,BODMIN,CORNWALL
465000,2020,TR14 0DD,CAMBORNE,CORNWALL
145500,2020,TR14 7TJ,CAMBORNE,CORNWALL
355000,2020,TR11 3LW,FALMOUTH,CORNWALL
370000,2020,PL17 8DU,CALLINGTON,CORNWALL
270000,2020,TR4 9PB,TRURO,CORNWALL
189950,2020,PL15 7AP,LAUNCESTON,CORNWALL
163500,2020,TR18 3QT,PENZANCE,CORNWALL
245000,2020,TR9 6NQ,ST COLUMB,CORNWALL
325000,2020,TR1 3TL,TRURO,CORNWALL
135000,2020,TR1 2GA,TRURO,CORNWALL
157000,2020,TR27 4LS,HAYLE,CORNWALL
270000,2020,TR13 8QD,HELSTON,CORNWALL
172500,2020,PL18 9EW,GUNNISLAKE,CORNWALL
550000,2020,PL23 1NL,FOWEY,CORNWALL
885000,2020,PL23 1EU,FOWEY,CORNWALL
245000,2020,TR1 3YJ,TRURO,CORNWALL
215000,2020,TR1 2PE,TRURO,CORNWALL
165000,2020,PL31 1BD,BODMIN,CORNWALL
350000,2020,PL22 0BD,LOSTWITHIEL,CORNWALL
160000,2020,TR9 6SA,ST COLUMB,CORNWALL
485000,2020,TR6 0AS,PERRANPORTH,CORNWALL
160000,2020,TR18 2PE,PENZANCE,CORNWALL
196500,2020,PL27 7PT,WADEBRIDGE,CORNWALL
215000,2020,PL25 3HZ,ST AUSTELL,CORNWALL
185000,2020,TR14 7XQ,CAMBORNE,CORNWALL
160000,2020,TR1 3QX,TRURO,CORNWALL
255000,2020,PL13 2SD,LOOE,CORNWALL
219000,2020,TR15 3AW,REDRUTH,CORNWALL
470000,2020,TR12 6EW,HELSTON,CORNWALL
690000,2020,TR12 6HG,HELSTON,CORNWALL
281000,2020,TR13 9PF,HELSTON,CORNWALL
850000,2020,TR27 5AF,HAYLE,CORNWALL
140500,2020,PL17 8QT,CALLINGTON,CORNWALL
176000,2020,PL26 7TA,ST AUSTELL,CORNWALL
570000,2020,TR11 4AP,FALMOUTH,CORNWALL
120000,2020,TR26 2TR,ST IVES,CORNWALL
282500,2020,PL27 6JB,WADEBRIDGE,CORNWALL
270000,2020,TR13 9AA,HELSTON,CORNWALL
265000,2020,TR15 3NF,REDRUTH,CORNWALL
243000,2020,TR2 4TR,TRURO,CORNWALL
150000,2020,TR9 6TX,ST COLUMB,CORNWALL
197000,2020,PL27 7DS,WADEBRIDGE,CORNWALL
144950,2020,PL15 9JT,LAUNCESTON,CORNWALL
372000,2020,TR2 5HS,TRURO,CORNWALL
297000,2020,TR10 9AU,PENRYN,CORNWALL
235000,2020,TR27 5HW,HAYLE,CORNWALL
265000,2020,PL15 7LY,LAUNCESTON,CORNWALL
112000,2020,PL15 8BQ,LAUNCESTON,CORNWALL
318000,2020,TR9 6BQ,ST COLUMB,CORNWALL
327000,2020,TR7 1SJ,NEWQUAY,CORNWALL
175000,2020,PL15 9JS,LAUNCESTON,CORNWALL
578000,2020,TR3 6RS,TRURO,CORNWALL
160000,2020,TR13 8TD,HELSTON,CORNWALL
400000,2020,TR12 6LN,HELSTON,CORNWALL
200000,2020,PL25 5SH,ST AUSTELL,CORNWALL
400000,2020,PL24 2RJ,PAR,CORNWALL
227500,2020,PL14 4TH,LISKEARD,CORNWALL
230000,2020,PL25 4EW,ST AUSTELL,CORNWALL
280000,2020,TR13 9AA,HELSTON,CORNWALL
213000,2020,PL25 3UZ,ST AUSTELL,CORNWALL
475000,2020,TR5 0QZ,ST AGNES,CORNWALL
199000,2020,TR18 5PS,PENZANCE,CORNWALL
347500,2020,PL18 9AX,GUNNISLAKE,CORNWALL
440000,2020,TR1 1WL,TRURO,CORNWALL
160000,2020,PL14 3WN,LISKEARD,CORNWALL
150000,2020,PL13 2SD,LOOE,CORNWALL
200000,2020,TR1 1LH,TRURO,CORNWALL
115000,2020,PL25 4JL,ST AUSTELL,CORNWALL
158000,2020,TR12 7ER,HELSTON,CORNWALL
210000,2020,PL25 3EY,ST AUSTELL,CORNWALL
185000,2020,TR1 2DU,TRURO,CORNWALL
110000,2020,PL14 4LE,LISKEARD,CORNWALL
117000,2020,TR16 5NE,REDRUTH,CORNWALL
180000,2020,TR7 2SY,NEWQUAY,CORNWALL
650000,2020,TR13 0RT,HELSTON,CORNWALL
395000,2020,TR2 5EE,TRURO,CORNWALL
315000,2020,PL15 7PQ,LAUNCESTON,CORNWALL
179950,2020,PL27 7BB,WADEBRIDGE,CORNWALL
158250,2020,TR14 9EA,CAMBORNE,CORNWALL
140000,2020,TR14 8LY,CAMBORNE,CORNWALL
200000,2020,PL24 2QQ,PAR,CORNWALL
275000,2020,TR2 5NH,TRURO,CORNWALL
395000,2020,TR11 4JX,FALMOUTH,CORNWALL
325000,2020,TR3 7AZ,TRURO,CORNWALL
175000,2020,PL14 4LZ,LISKEARD,CORNWALL
210000,2020,PL26 7ZA,ST AUSTELL,CORNWALL
200000,2020,TR4 9PF,TRURO,CORNWALL
207500,2020,EX23 9AP,BUDE,CORNWALL
215000,2020,PL15 9TS,LAUNCESTON,CORNWALL
155000,2020,PL12 6EX,SALTASH,CORNWALL
221000,2020,TR9 6LT,ST COLUMB,CORNWALL
307000,2020,TR6 0DS,PERRANPORTH,CORNWALL
385000,2020,PL30 5EL,BODMIN,CORNWALL
125000,2020,TR7 3EH,NEWQUAY,CORNWALL
213000,2020,TR7 2RZ,NEWQUAY,CORNWALL
174000,2020,TR10 8NQ,PENRYN,CORNWALL
290000,2020,PL26 8YF,ST AUSTELL,CORNWALL
180000,2020,TR1 2PQ,TRURO,CORNWALL
125550,2020,TR14 8ER,CAMBORNE,CORNWALL
98000,2020,TR1 2FE,TRURO,CORNWALL
700000,2020,PL28 8QU,PADSTOW,CORNWALL
230000,2020,TR12 6SE,HELSTON,CORNWALL
285000,2020,TR4 9DW,TRURO,CORNWALL
195000,2020,PL32 9AD,CAMELFORD,CORNWALL
390000,2020,TR3 6TT,TRURO,CORNWALL
217000,2020,TR15 3NG,REDRUTH,CORNWALL
499000,2020,TR26 2DU,ST IVES,CORNWALL
220000,2020,TR1 3AJ,TRURO,CORNWALL
222500,2020,TR9 6TD,ST COLUMB,CORNWALL
220000,2020,TR1 3FE,TRURO,CORNWALL
55000,2020,PL15 8AY,LAUNCESTON,CORNWALL
155000,2020,TR16 4SW,REDRUTH,CORNWALL
171000,2020,EX23 8DG,BUDE,CORNWALL
286500,2020,TR2 4RP,TRURO,CORNWALL
165000,2020,PL14 3FJ,LISKEARD,CORNWALL
310000,2020,TR5 0UY,ST AGNES,CORNWALL
405000,2020,TR17 0ED,MARAZION,CORNWALL
85000,2020,PL26 7NU,ST AUSTELL,CORNWALL
137500,2020,PL25 4PG,ST AUSTELL,CORNWALL
162500,2020,TR18 2DL,PENZANCE,CORNWALL
184950,2020,PL25 3QL,ST AUSTELL,CORNWALL
171000,2020,PL14 3NX,LISKEARD,CORNWALL
241000,2020,TR7 3BS,NEWQUAY,CORNWALL
294000,2020,PL25 4JY,ST AUSTELL,CORNWALL
185000,2020,TR14 8HF,CAMBORNE,CORNWALL
175000,2020,PL31 2FF,BODMIN,CORNWALL
285000,2020,TR1 3SN,TRURO,CORNWALL
222000,2020,PL30 3FA,BODMIN,CORNWALL
292500,2020,PL12 4DD,SALTASH,CORNWALL
220000,2020,TR13 9NT,HELSTON,CORNWALL
206000,2020,TR7 2SZ,NEWQUAY,CORNWALL
230000,2020,PL22 0AH,LOSTWITHIEL,CORNWALL
178500,2020,PL25 4FA,ST AUSTELL,CORNWALL
165000,2020,PL31 1JB,BODMIN,CORNWALL
315000,2020,TR13 0DS,HELSTON,CORNWALL
162500,2020,TR14 7SD,CAMBORNE,CORNWALL
245000,2020,TR7 3BS,NEWQUAY,CORNWALL
142500,2020,TR18 2NU,PENZANCE,CORNWALL
152550,2020,TR26 2PH,ST IVES,CORNWALL
178000,2020,PL13 2ER,LOOE,CORNWALL
360000,2020,TR27 5DL,HAYLE,CORNWALL
180000,2020,EX23 9RQ,BUDE,CORNWALL
165000,2020,TR11 2TX,FALMOUTH,CORNWALL
315000,2020,TR2 4QT,TRURO,CORNWALL
185000,2020,PL25 4EH,ST AUSTELL,CORNWALL
144000,2020,TR3 7FA,TRURO,CORNWALL
250000,2020,TR19 6TT,PENZANCE,CORNWALL
260000,2020,TR10 9FA,PENRYN,CORNWALL
182000,2020,TR11 5GS,FALMOUTH,CORNWALL
315000,2020,TR12 6SA,HELSTON,CORNWALL
150000,2020,PL11 2LG,TORPOINT,CORNWALL
170500,2020,TR14 8AR,CAMBORNE,CORNWALL
310000,2020,TR27 4HX,HAYLE,CORNWALL
185000,2020,TR27 5DH,HAYLE,CORNWALL
325000,2020,TR18 4QD,PENZANCE,CORNWALL
299000,2020,TR7 3DS,NEWQUAY,CORNWALL
475000,2020,TR7 1FU,NEWQUAY,CORNWALL
119025,2020,TR8 4FA,NEWQUAY,CORNWALL
210000,2020,PL23 1EF,FOWEY,CORNWALL
292500,2020,TR26 2GN,ST IVES,CORNWALL
282500,2020,TR8 4FG,NEWQUAY,CORNWALL
93000,2020,TR14 8GG,CAMBORNE,CORNWALL
245000,2020,PL28 8EL,PADSTOW,CORNWALL
404000,2020,PL15 7FN,LAUNCESTON,CORNWALL
580000,2020,TR11 2PB,FALMOUTH,CORNWALL
335000,2020,TR4 8FR,TRURO,CORNWALL
200000,2020,PL31 2EZ,BODMIN,CORNWALL
250000,2020,TR1 2FS,TRURO,CORNWALL
420000,2020,TR2 4FJ,TRURO,CORNWALL
80000,2020,PL14 6FG,LISKEARD,CORNWALL
140000,2020,PL17 7JL,CALLINGTON,CORNWALL
1950000,2020,PL28 8QW,PADSTOW,CORNWALL
675000,2020,TR11 5ED,FALMOUTH,CORNWALL
255000,2020,PL26 6HT,ST AUSTELL,CORNWALL
213000,2020,EX23 8GW,BUDE,CORNWALL
105000,2020,PL14 3SX,LISKEARD,CORNWALL
270000,2020,TR7 2FL,NEWQUAY,CORNWALL
256500,2020,TR11 2EU,FALMOUTH,CORNWALL
405000,2020,EX23 8NX,BUDE,CORNWALL
85000,2020,TR16 5LY,REDRUTH,CORNWALL
235000,2020,TR1 3TD,TRURO,CORNWALL
255000,2020,TR11 3QQ,FALMOUTH,CORNWALL
157500,2020,TR2 5RN,TRURO,CORNWALL
270000,2020,PL23 1NA,FOWEY,CORNWALL
635000,2020,PL13 2JB,LOOE,CORNWALL
355000,2020,TR11 4AZ,FALMOUTH,CORNWALL
505000,2020,TR11 4BE,FALMOUTH,CORNWALL
254000,2020,PL14 5ET,LISKEARD,CORNWALL
635000,2020,PL28 8JN,PADSTOW,CORNWALL
260000,2020,TR11 5GZ,FALMOUTH,CORNWALL
279995,2020,PL17 7FU,CALLINGTON,CORNWALL
278995,2020,PL17 7FU,CALLINGTON,CORNWALL
133500,2020,PL31 2TZ,BODMIN,CORNWALL
219000,2020,PL31 2TZ,BODMIN,CORNWALL
263500,2020,TR19 6JU,PENZANCE,CORNWALL
195000,2020,TR14 0FG,CAMBORNE,CORNWALL
190000,2020,TR14 0FG,CAMBORNE,CORNWALL
188000,2020,TR7 1TQ,NEWQUAY,CORNWALL
100000,2020,PL25 5FL,ST AUSTELL,CORNWALL
200000,2020,PL27 7FS,WADEBRIDGE,CORNWALL
272250,2020,TR27 5FU,HAYLE,CORNWALL
280000,2020,TR8 4GS,NEWQUAY,CORNWALL
212950,2020,PL15 9GP,LAUNCESTON,CORNWALL
300000,2020,TR26 1RP,ST IVES,CORNWALL
270950,2020,TR7 2FT,NEWQUAY,CORNWALL
216950,2020,PL15 9GP,LAUNCESTON,CORNWALL
189950,2020,PL15 9GN,LAUNCESTON,CORNWALL
335000,2020,PL31 2TB,BODMIN,CORNWALL
345000,2020,TR8 4GS,NEWQUAY,CORNWALL
375000,2020,TR16 4FH,REDRUTH,CORNWALL
360000,2020,TR4 9FS,TRURO,CORNWALL
639950,2020,TR26 3BH,ST IVES,CORNWALL
320000,2020,PL13 1PS,LOOE,CORNWALL
275000,2020,TR27 5FU,HAYLE,CORNWALL
245000,2020,PL31 1AS,BODMIN,CORNWALL
320000,2020,TR17 0DB,MARAZION,CORNWALL
250000,2020,TR2 5DR,TRURO,CORNWALL
145000,2020,PL26 8EZ,ST AUSTELL,CORNWALL
138000,2020,PL30 4JD,BODMIN,CORNWALL
163000,2020,EX22 6TY,HOLSWORTHY,CORNWALL
230000,2020,TR16 5DS,REDRUTH,CORNWALL
320000,2020,PL12 4SP,SALTASH,CORNWALL
810000,2020,PL12 4DS,SALTASH,CORNWALL
400000,2020,PL30 5BL,BODMIN,CORNWALL
359950,2020,TR8 5FG,NEWQUAY,CORNWALL
445000,2020,TR1 1TA,TRURO,CORNWALL
155000,2020,TR15 2HZ,REDRUTH,CORNWALL
385000,2020,TR14 7LR,CAMBORNE,CORNWALL
224950,2020,TR8 5FG,NEWQUAY,CORNWALL
140000,2020,PL14 3GU,LISKEARD,CORNWALL
275000,2020,PL14 3SP,LISKEARD,CORNWALL
185000,2020,TR11 2LA,FALMOUTH,CORNWALL
400250,2020,EX23 8PE,BUDE,CORNWALL
155000,2020,TR14 7TP,CAMBORNE,CORNWALL
94750,2020,TR15 1HN,REDRUTH,CORNWALL
260000,2020,PL25 3FY,ST AUSTELL,CORNWALL
385000,2020,TR8 5FQ,NEWQUAY,CORNWALL
580000,2020,TR27 5BU,HAYLE,CORNWALL
200000,2020,TR14 0FJ,CAMBORNE,CORNWALL
260000,2020,TR27 4FR,HAYLE,CORNWALL
257500,2020,TR27 4FR,HAYLE,CORNWALL
320000,2020,TR7 2RY,NEWQUAY,CORNWALL
373000,2020,TR26 2JR,ST IVES,CORNWALL
160000,2020,PL31 1BN,BODMIN,CORNWALL
210000,2020,TR15 1NT,REDRUTH,CORNWALL
390000,2020,TR12 7EF,HELSTON,CORNWALL
210000,2020,PL25 4RU,ST AUSTELL,CORNWALL
174000,2020,PL26 6JH,ST AUSTELL,CORNWALL
118000,2020,PL31 2EX,BODMIN,CORNWALL
179000,2020,PL17 7DE,CALLINGTON,CORNWALL
185000,2020,PL24 2LQ,PAR,CORNWALL
