SCHNAME,PCODE,ATT8SCR,TOWN,Academic_Year,County
Andalusia Academy Bristol,BS2 0BA,58.8,Bristol,2021-2022,Bristol
Ashton Park School,BS3 2JL,46.6,Bristol,2021-2022,Bristol
Badminton School,BS9 3BA,42.7,Bristol,2021-2022,Bristol
Bedminster Down School,BS13 7DQ,40.6,Bristol,2021-2022,Bristol
Blaise High School,BS10 7QH,43.3,Bristol,2021-2022,Bristol
Bridge Learning Campus,BS13 0RL,35.8,Bristol,2021-2022,Bristol
Bristol Brunel Academy,BS15 1NU,48.2,Bristol,2021-2022,Bristol
Bristol Cathedral Choir School,BS1 5TS,59.3,Bristol,2021-2022,Bristol
Bristol Free School,BS10 6NJ,51.8,Bristol,2021-2022,Bristol
Bristol Grammar School,BS8 1SR,16.4,Bristol,2021-2022,Bristol
Bristol Metropolitan Academy,BS16 2HD,53.5,Bristol,2021-2022,Bristol
The City Academy Bristol,BS5 9JH,38.8,Bristol,2021-2022,Bristol
Cotham School,BS6 6DT,52.2,Bristol,2021-2022,Bristol
Fairfield High School,BS7 9NL,54.7,Bristol,2021-2022,Bristol
Kingsweston School,BS11 0UT,8,Bristol,2021-2022,Bristol
Knowle DGE Academy,BS4 1NN,2.3,Bristol,2021-2022,Bristol
LPW Independent School,BS3 4AG,0.4,Bristol,2021-2022,Bristol
Merchants' Academy,BS13 9AJ,36.1,Bristol,2021-2022,Bristol
Montpelier High School,BS6 5RD,63.7,Bristol,2021-2022,Bristol
North Star 240°,BS11 0QA,8.9,Bristol,2021-2022,Bristol
Oasis Academy Brightstowe,BS11 0EB,39.3,Bristol,2021-2022,Bristol
Oasis Academy Brislington,BS4 5EY,44.8,Bristol,2021-2022,Bristol
Oasis Academy John Williams,BS14 9BU,44.1,Bristol,2021-2022,Bristol
Orchard School Bristol,BS7 0XZ,43.9,Bristol,2021-2022,Bristol
Queen Elizabeth's Hospital,BS8 1JX,35.3,Bristol,2021-2022,Bristol
Redland Green School,BS6 7EH,60.8,Bristol,2021-2022,Bristol
Redmaids' High School,BS9 3AW,28.8,Bristol,2021-2022,Bristol
St Bede's Catholic College,BS11 0SU,61.6,Bristol,2021-2022,Bristol
St Bernadette Catholic Secondary School,BS14 9LS,48.5,Bristol,2021-2022,Bristol
St Mary Redcliffe and Temple School,BS1 6RT,57.1,Bristol,2021-2022,Bristol
Venturers' Academy,BS13 9AX,1,Bristol,2021-2022,Bristol
Ashton Park School,BS3 2JL,47.1,Bristol,2022-2023,Bristol
